Year,Locationabbr,Locationdesc,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,GeoLocation
2019,ID,Idaho,Obese (BMI 30.0 - 99.8),55-64,Age Group,295,33.3,"(43.682630005000476, -114.3637300419997)"
2017,NE,Nebraska,Obese (bmi 30.0 - 99.8),35-44,Age Group,622,36.0,"(41.6410409880005, -99.36572062299967)"
2017,WY,Wyoming,Obese (bmi 30.0 - 99.8),45-54,Age Group,192,37.7,"(43.23554134300048, -108.10983035299967)"
2019,OK,Oklahoma,Obese (BMI 30.0 - 99.8),65+,Age Group,675,31.2,"(35.47203135600046, -97.52107021399968)"
2019,UT,Utah,Obese (BMI 30.0 - 99.8),25-34,Age Group,415,27.4,"(39.360700171000474, -111.58713063499971)"
2015,WV,West Virginia,Obese (bmi 30.0 - 99.8),65+,Age Group,515,30.3,"(38.665510202, -80.712640135)"
2016,MI,Michigan,Overweight (bmi 25.0-29.9),25-34,Age Group,329,30.3,"(44.6613195430005, -84.71439026999968)"
2015,AZ,Arizona,Overweight (bmi 25.0-29.9),25-34,Age Group,182,35.4,"(34.86597028, -111.763811277)"
2018,OK,Oklahoma,Overweight (BMI 25.0-29.9),45-54,Age Group,217,35.1,"(35.47203135600046, -97.52107021399968)"
2017,GU,Guam,Overweight (bmi 25.0-29.9),35-44,Age Group,80,33.8,"(13.444304, 144.793731)"
2018,MS,Mississippi,Obese (BMI 30.0 - 99.8),55-64,Age Group,555,44.2,"(32.745510099000455, -89.53803082499968)"
2017,NM,New Mexico,Overweight (bmi 25.0-29.9),25-34,Age Group,211,32.7,"(34.52088095200048, -106.24058098499967)"
2015,GU,Guam,Overweight (bmi 25.0-29.9),65+,Age Group,72,35.9,"(13.444304, 144.793731)"
2017,VA,Virginia,Overweight (bmi 25.0-29.9),35-44,Age Group,334,36.2,"(37.54268067400045, -78.45789046299967)"
2015,DC,District of Columbia,Overweight (bmi 25.0-29.9),35-44,Age Group,139,38.4,"(38.890371385, -77.031961127)"
2015,AL,Alabama,Obese (bmi 30.0 - 99.8),55-64,Age Group,667,40.3,"(32.840571122, -86.631860762)"
2017,VT,Vermont,Obese (bmi 30.0 - 99.8),45-54,Age Group,319,33.9,"(43.62538123900049, -72.51764079099962)"
2016,AL,Alabama,Overweight (bmi 25.0-29.9),55-64,Age Group,487,35.3,"(32.84057112200048, -86.63186076199969)"
2017,WA,Washington,Obese (bmi 30.0 - 99.8),25-34,Age Group,324,25.1,"(47.52227862900048, -120.47001078999972)"
2016,NC,North Carolina,Overweight (bmi 25.0-29.9),35-44,Age Group,278,34.3,"(35.466220975000454, -79.15925046299964)"
2017,AL,Alabama,Obese (bmi 30.0 - 99.8),45-54,Age Group,455,47.1,"(32.84057112200048, -86.63186076199969)"
2016,AR,Arkansas,Obese (bmi 30.0 - 99.8),18-24,Age Group,35,28.6,"(34.74865012400045, -92.27449074299966)"
2016,NJ,New Jersey,Obese (bmi 30.0 - 99.8),18-24,Age Group,43,14.2,"(40.13057004800049, -74.27369128799967)"
2017,LA,Louisiana,Obese (bmi 30.0 - 99.8),55-64,Age Group,379,39.3,"(31.31266064400046, -92.44568007099969)"
2018,CO,Colorado,Overweight (BMI 25.0-29.9),25-34,Age Group,327,33.5,"(38.843840757000464, -106.13361092099967)"
2016,NV,Nevada,Obese (bmi 30.0 - 99.8),65+,Age Group,327,25.7,"(39.493240390000494, -117.07184056399967)"
2017,TX,Texas,Obese (bmi 30.0 - 99.8),25-34,Age Group,375,30.6,"(31.827240407000488, -99.42677020599967)"
2017,HI,Hawaii,Overweight (bmi 25.0-29.9),18-24,Age Group,121,25.5,"(21.304850435000446, -157.85774940299973)"
2018,OR,Oregon,Overweight (BMI 25.0-29.9),65+,Age Group,623,38.0,"(44.56744942400047, -120.15503132599969)"
2017,KS,Kansas,Obese (bmi 30.0 - 99.8),65+,Age Group,1921,29.3,"(38.34774030000045, -98.20078122699965)"
2016,VI,Virgin Islands,Obese (bmi 30.0 - 99.8),65+,Age Group,100,19.3,"(18.335765, -64.896335)"
2018,WA,Washington,Overweight (BMI 25.0-29.9),18-24,Age Group,148,23.4,"(47.52227862900048, -120.47001078999972)"
2017,WA,Washington,Overweight (bmi 25.0-29.9),18-24,Age Group,177,23.8,"(47.52227862900048, -120.47001078999972)"
2015,FL,Florida,Overweight (bmi 25.0-29.9),65+,Age Group,1589,40.2,"(28.932040377, -81.928960539)"
2017,OR,Oregon,Obese (bmi 30.0 - 99.8),18-24,Age Group,54,17.9,"(44.56744942400047, -120.15503132599969)"
2015,OR,Oregon,Overweight (bmi 25.0-29.9),45-54,Age Group,279,40.0,"(44.567449424, -120.155031326)"
2017,OR,Oregon,Obese (bmi 30.0 - 99.8),25-34,Age Group,137,25.5,"(44.56744942400047, -120.15503132599969)"
2017,KY,Kentucky,Obese (bmi 30.0 - 99.8),45-54,Age Group,539,40.9,"(37.645970271000465, -84.77497104799966)"
2017,VT,Vermont,Overweight (bmi 25.0-29.9),25-34,Age Group,164,30.3,"(43.62538123900049, -72.51764079099962)"
2015,IN,Indiana,Obese (bmi 30.0 - 99.8),65+,Age Group,650,29.5,"(39.766910452, -86.149960194)"
2019,WA,Washington,Obese (BMI 30.0 - 99.8),45-54,Age Group,552,33.7,"(47.52227862900048, -120.47001078999972)"
2016,TN,Tennessee,Obese (bmi 30.0 - 99.8),18-24,Age Group,83,22.5,"(35.68094058000048, -85.77449091399967)"
2019,SC,South Carolina,Obese (BMI 30.0 - 99.8),35-44,Age Group,246,38.3,"(33.998821303000454, -81.04537120699968)"
2018,WV,West Virginia,Obese (BMI 30.0 - 99.8),25-34,Age Group,148,40.8,"(38.66551020200046, -80.71264013499967)"
2017,IN,Indiana,Obese (bmi 30.0 - 99.8),18-24,Age Group,123,20.5,"(39.766910452000445, -86.14996019399968)"
2017,SC,South Carolina,Overweight (bmi 25.0-29.9),25-34,Age Group,247,31.3,"(33.998821303000454, -81.04537120699968)"
2015,MA,Massachusetts,Obese (bmi 30.0 - 99.8),25-34,Age Group,202,22.0,"(42.27687047, -72.082690675)"
2017,AK,Alaska,Obese (bmi 30.0 - 99.8),18-24,Age Group,37,23.0,"(64.84507995700051, -147.72205903599973)"
2016,KS,Kansas,Obese (bmi 30.0 - 99.8),35-44,Age Group,451,36.0,"(38.34774030000045, -98.20078122699965)"
2019,LA,Louisiana,Obese (BMI 30.0 - 99.8),45-54,Age Group,310,43.7,"(31.31266064400046, -92.44568007099969)"
2019,ME,Maine,Obese (BMI 30.0 - 99.8),55-64,Age Group,803,36.3,"(45.254228894000505, -68.98503133599962)"
2017,UT,Utah,Obese (bmi 30.0 - 99.8),25-34,Age Group,321,21.6,"(39.360700171000474, -111.58713063499971)"
2016,CO,Colorado,Overweight (bmi 25.0-29.9),35-44,Age Group,566,36.6,"(38.843840757000464, -106.13361092099967)"
2018,WA,Washington,Overweight (BMI 25.0-29.9),55-64,Age Group,871,37.3,"(47.52227862900048, -120.47001078999972)"
2019,TN,Tennessee,Obese (BMI 30.0 - 99.8),55-64,Age Group,495,41.6,"(35.68094058000048, -85.77449091399967)"
2016,MT,Montana,Overweight (bmi 25.0-29.9),45-54,Age Group,273,39.9,"(47.06652897200047, -109.42442064499971)"
2018,WY,Wyoming,Overweight (BMI 25.0-29.9),18-24,Age Group,54,28.1,"(43.23554134300048, -108.10983035299967)"
2015,WY,Wyoming,Overweight (bmi 25.0-29.9),55-64,Age Group,430,39.6,"(43.235541343, -108.109830353)"
2017,KS,Kansas,Overweight (bmi 25.0-29.9),18-24,Age Group,368,27.1,"(38.34774030000045, -98.20078122699965)"
2016,LA,Louisiana,Obese (bmi 30.0 - 99.8),65+,Age Group,666,35.3,"(31.31266064400046, -92.44568007099969)"
2018,GU,Guam,Overweight (BMI 25.0-29.9),55-64,Age Group,106,40.3,"(13.444304, 144.793731)"
2018,MN,Minnesota,Obese (BMI 30.0 - 99.8),18-24,Age Group,210,19.0,"(46.35564873600049, -94.79420050299967)"
2015,KS,Kansas,Overweight (bmi 25.0-29.9),55-64,Age Group,1619,34.7,"(38.3477403, -98.200781227)"
2018,IN,Indiana,Obese (BMI 30.0 - 99.8),18-24,Age Group,83,22.6,"(39.766910452000445, -86.14996019399968)"
2016,WI,Wisconsin,Obese (bmi 30.0 - 99.8),25-34,Age Group,132,27.1,"(44.39319117400049, -89.81637074199966)"
2015,IL,Illinois,Overweight (bmi 25.0-29.9),18-24,Age Group,93,26.3,"(40.485010283, -88.997710178)"
2019,OH,Ohio,Obese (BMI 30.0 - 99.8),18-24,Age Group,126,20.8,"(40.06021014100048, -82.40426005599966)"
2015,NH,New Hampshire,Obese (bmi 30.0 - 99.8),25-34,Age Group,86,17.6,"(43.655950113, -71.50036092)"
2019,TX,Texas,Obese (BMI 30.0 - 99.8),35-44,Age Group,542,37.9,"(31.827240407000488, -99.42677020599967)"
2017,KS,Kansas,Obese (bmi 30.0 - 99.8),18-24,Age Group,281,21.9,"(38.34774030000045, -98.20078122699965)"
2017,MD,Maryland,Overweight (bmi 25.0-29.9),45-54,Age Group,732,35.8,"(39.29058096400047, -76.60926011099963)"
2017,TN,Tennessee,Obese (bmi 30.0 - 99.8),55-64,Age Group,415,38.4,"(35.68094058000048, -85.77449091399967)"
2018,MO,Missouri,Overweight (BMI 25.0-29.9),45-54,Age Group,252,33.3,"(38.635790776000476, -92.56630005299968)"
2019,MD,Maryland,Obese (BMI 30.0 - 99.8),65+,Age Group,2034,30.4,"(39.29058096400047, -76.60926011099963)"
2015,VA,Virginia,Obese (bmi 30.0 - 99.8),65+,Age Group,650,29.3,"(37.542680674, -78.457890463)"
2018,HI,Hawaii,Obese (BMI 30.0 - 99.8),35-44,Age Group,299,30.3,"(21.304850435000446, -157.85774940299973)"
2017,WV,West Virginia,Obese (bmi 30.0 - 99.8),18-24,Age Group,48,24.5,"(38.66551020200046, -80.71264013499967)"
2016,CA,California,Overweight (bmi 25.0-29.9),45-54,Age Group,662,37.4,"(37.63864012300047, -120.99999953799971)"
2017,HI,Hawaii,Overweight (bmi 25.0-29.9),45-54,Age Group,427,37.7,"(21.304850435000446, -157.85774940299973)"
2017,PR,Puerto Rico,Obese (bmi 30.0 - 99.8),25-34,Age Group,153,31.7,"(18.220833, -66.590149)"
2016,FL,Florida,Overweight (bmi 25.0-29.9),18-24,Age Group,423,25.0,"(28.932040377000476, -81.92896053899966)"
2018,ID,Idaho,Obese (BMI 30.0 - 99.8),35-44,Age Group,118,31.0,"(43.682630005000476, -114.3637300419997)"
2016,LA,Louisiana,Overweight (bmi 25.0-29.9),25-34,Age Group,148,38.2,"(31.31266064400046, -92.44568007099969)"
2016,MS,Mississippi,Obese (bmi 30.0 - 99.8),35-44,Age Group,279,47.5,"(32.745510099000455, -89.53803082499968)"
2016,NH,New Hampshire,Overweight (bmi 25.0-29.9),65+,Age Group,900,41.3,"(43.65595011300047, -71.50036091999965)"
2016,NY,New York,Obese (bmi 30.0 - 99.8),65+,Age Group,2995,24.6,"(42.82700103200045, -75.54397042699964)"
2019,ID,Idaho,Overweight (BMI 25.0-29.9),25-34,Age Group,170,33.0,"(43.682630005000476, -114.3637300419997)"
2016,IA,Iowa,Overweight (bmi 25.0-29.9),65+,Age Group,984,40.1,"(42.46940091300047, -93.81649055599968)"
2016,ME,Maine,Obese (bmi 30.0 - 99.8),55-64,Age Group,738,33.0,"(45.254228894000505, -68.98503133599962)"
2016,FL,Florida,Obese (bmi 30.0 - 99.8),65+,Age Group,3690,25.8,"(28.932040377000476, -81.92896053899966)"
2017,AZ,Arizona,Obese (bmi 30.0 - 99.8),35-44,Age Group,529,34.4,"(34.865970280000454, -111.76381127699972)"
2018,WA,Washington,Overweight (BMI 25.0-29.9),35-44,Age Group,507,38.3,"(47.52227862900048, -120.47001078999972)"
2019,TX,Texas,Overweight (BMI 25.0-29.9),25-34,Age Group,393,28.3,"(31.827240407000488, -99.42677020599967)"
2019,WI,Wisconsin,Obese (BMI 30.0 - 99.8),18-24,Age Group,51,20.5,"(44.39319117400049, -89.81637074199966)"
2016,AK,Alaska,Overweight (bmi 25.0-29.9),25-34,Age Group,91,31.5,"(64.84507995700051, -147.72205903599973)"
2015,TN,Tennessee,Obese (bmi 30.0 - 99.8),55-64,Age Group,467,37.6,"(35.68094058, -85.774490914)"
2018,NC,North Carolina,Obese (BMI 30.0 - 99.8),45-54,Age Group,304,44.5,"(35.466220975000454, -79.15925046299964)"
2019,MN,Minnesota,Obese (BMI 30.0 - 99.8),35-44,Age Group,657,31.9,"(46.35564873600049, -94.79420050299967)"
2019,MD,Maryland,Overweight (BMI 25.0-29.9),45-54,Age Group,821,37.1,"(39.29058096400047, -76.60926011099963)"
2016,VI,Virgin Islands,Overweight (bmi 25.0-29.9),55-64,Age Group,119,37.2,"(18.335765, -64.896335)"
2018,NM,New Mexico,Obese (BMI 30.0 - 99.8),25-34,Age Group,234,35.5,"(34.52088095200048, -106.24058098499967)"
2019,WI,Wisconsin,Obese (BMI 30.0 - 99.8),25-34,Age Group,123,31.7,"(44.39319117400049, -89.81637074199966)"
2017,FL,Florida,Obese (bmi 30.0 - 99.8),45-54,Age Group,1072,33.4,"(28.932040377000476, -81.92896053899966)"
2018,TX,Texas,Obese (BMI 30.0 - 99.8),25-34,Age Group,406,32.4,"(31.827240407000488, -99.42677020599967)"
2015,GA,Georgia,Overweight (bmi 25.0-29.9),65+,Age Group,569,37.1,"(32.839681093, -83.627580346)"
2015,PR,Puerto Rico,Obese (bmi 30.0 - 99.8),55-64,Age Group,343,34.2,"(18.220833, -66.590149)"
2019,IA,Iowa,Obese (BMI 30.0 - 99.8),65+,Age Group,1042,33.3,"(42.46940091300047, -93.81649055599968)"
2018,MT,Montana,Overweight (BMI 25.0-29.9),18-24,Age Group,82,29.2,"(47.06652897200047, -109.42442064499971)"
2016,MS,Mississippi,Overweight (bmi 25.0-29.9),65+,Age Group,613,36.7,"(32.745510099000455, -89.53803082499968)"
2018,TX,Texas,Obese (BMI 30.0 - 99.8),18-24,Age Group,139,20.8,"(31.827240407000488, -99.42677020599967)"
2015,TX,Texas,Overweight (bmi 25.0-29.9),25-34,Age Group,453,37.3,"(31.827240407, -99.426770206)"
2017,GU,Guam,Obese (bmi 30.0 - 99.8),45-54,Age Group,119,39.4,"(13.444304, 144.793731)"
2018,NJ,New Jersey,Overweight (BMI 25.0-29.9),25-34,Age Group,135,34.8,"(40.13057004800049, -74.27369128799967)"
2019,NH,New Hampshire,Obese (BMI 30.0 - 99.8),18-24,Age Group,40,23.5,"(43.65595011300047, -71.50036091999965)"
2016,ND,North Dakota,Obese (bmi 30.0 - 99.8),65+,Age Group,598,32.1,"(47.47531977900047, -100.11842104899966)"
2015,PR,Puerto Rico,Obese (bmi 30.0 - 99.8),45-54,Age Group,302,34.4,"(18.220833, -66.590149)"
2015,NJ,New Jersey,Overweight (bmi 25.0-29.9),18-24,Age Group,144,26.1,"(40.130570048, -74.273691288)"
2019,KY,Kentucky,Overweight (BMI 25.0-29.9),45-54,Age Group,418,36.8,"(37.645970271000465, -84.77497104799966)"
2016,DC,District of Columbia,Overweight (bmi 25.0-29.9),25-34,Age Group,139,27.3,"(38.89037138500049, -77.03196112699965)"
2015,CT,Connecticut,Obese (bmi 30.0 - 99.8),65+,Age Group,991,25.5,"(41.56266102, -72.649840952)"
2017,DC,District of Columbia,Obese (bmi 30.0 - 99.8),25-34,Age Group,116,19.1,"(38.89037138500049, -77.03196112699965)"
2017,MI,Michigan,Overweight (bmi 25.0-29.9),45-54,Age Group,549,35.9,"(44.6613195430005, -84.71439026999968)"
2017,OR,Oregon,Obese (bmi 30.0 - 99.8),35-44,Age Group,204,30.5,"(44.56744942400047, -120.15503132599969)"
2017,MN,Minnesota,Overweight (bmi 25.0-29.9),65+,Age Group,1905,40.2,"(46.35564873600049, -94.79420050299967)"
2018,VT,Vermont,Overweight (BMI 25.0-29.9),25-34,Age Group,138,28.6,"(43.62538123900049, -72.51764079099962)"
2018,VT,Vermont,Obese (BMI 30.0 - 99.8),35-44,Age Group,196,28.0,"(43.62538123900049, -72.51764079099962)"
2016,WV,West Virginia,Overweight (bmi 25.0-29.9),18-24,Age Group,86,25.0,"(38.66551020200046, -80.71264013499967)"
2019,NM,New Mexico,Overweight (BMI 25.0-29.9),25-34,Age Group,157,30.0,"(34.52088095200048, -106.24058098499967)"
2015,DE,Delaware,Obese (bmi 30.0 - 99.8),55-64,Age Group,281,33.4,"(39.008830667, -75.577741168)"
2018,RI,Rhode Island,Obese (BMI 30.0 - 99.8),65+,Age Group,477,26.6,"(41.70828019300046, -71.52247031399963)"
2016,ID,Idaho,Overweight (bmi 25.0-29.9),35-44,Age Group,196,39.9,"(43.682630005000476, -114.3637300419997)"
2018,UT,Utah,Overweight (BMI 25.0-29.9),45-54,Age Group,591,38.0,"(39.360700171000474, -111.58713063499971)"
2015,KY,Kentucky,Obese (bmi 30.0 - 99.8),45-54,Age Group,550,40.6,"(37.645970271, -84.774971048)"
2016,KY,Kentucky,Overweight (bmi 25.0-29.9),45-54,Age Group,556,37.0,"(37.645970271000465, -84.77497104799966)"
2015,AR,Arkansas,Overweight (bmi 25.0-29.9),35-44,Age Group,134,32.2,"(34.748650124, -92.274490743)"
2015,CO,Colorado,Obese (bmi 30.0 - 99.8),55-64,Age Group,699,24.1,"(38.843840757, -106.133610921)"
2017,MS,Mississippi,Obese (bmi 30.0 - 99.8),25-34,Age Group,148,39.9,"(32.745510099000455, -89.53803082499968)"
2019,TX,Texas,Overweight (BMI 25.0-29.9),35-44,Age Group,443,36.6,"(31.827240407000488, -99.42677020599967)"
2018,NV,Nevada,Overweight (BMI 25.0-29.9),65+,Age Group,377,41.0,"(39.493240390000494, -117.07184056399967)"
2015,LA,Louisiana,Obese (bmi 30.0 - 99.8),25-34,Age Group,127,28.1,"(31.312660644, -92.445680071)"
2017,VA,Virginia,Overweight (bmi 25.0-29.9),65+,Age Group,1205,39.8,"(37.54268067400045, -78.45789046299967)"
2018,SC,South Carolina,Obese (BMI 30.0 - 99.8),45-54,Age Group,603,43.6,"(33.998821303000454, -81.04537120699968)"
2016,CT,Connecticut,Obese (bmi 30.0 - 99.8),25-34,Age Group,163,24.2,"(41.56266102000046, -72.64984095199964)"
2016,NE,Nebraska,Overweight (bmi 25.0-29.9),55-64,Age Group,1134,39.0,"(41.6410409880005, -99.36572062299967)"
2015,WV,West Virginia,Overweight (bmi 25.0-29.9),65+,Age Group,657,39.8,"(38.665510202, -80.712640135)"
2016,NJ,New Jersey,Overweight (bmi 25.0-29.9),18-24,Age Group,91,26.2,"(40.13057004800049, -74.27369128799967)"
2019,RI,Rhode Island,Obese (BMI 30.0 - 99.8),55-64,Age Group,405,33.4,"(41.70828019300046, -71.52247031399963)"
2018,OR,Oregon,Obese (BMI 30.0 - 99.8),18-24,Age Group,58,14.9,"(44.56744942400047, -120.15503132599969)"
2018,NM,New Mexico,Obese (BMI 30.0 - 99.8),35-44,Age Group,265,36.4,"(34.52088095200048, -106.24058098499967)"
2017,MO,Missouri,Overweight (bmi 25.0-29.9),45-54,Age Group,341,35.6,"(38.635790776000476, -92.56630005299968)"
2016,NM,New Mexico,Obese (bmi 30.0 - 99.8),45-54,Age Group,285,33.0,"(34.52088095200048, -106.24058098499967)"
2016,ID,Idaho,Overweight (bmi 25.0-29.9),18-24,Age Group,63,27.2,"(43.682630005000476, -114.3637300419997)"
2016,IA,Iowa,Obese (bmi 30.0 - 99.8),35-44,Age Group,263,38.7,"(42.46940091300047, -93.81649055599968)"
2019,MI,Michigan,Obese (BMI 30.0 - 99.8),35-44,Age Group,402,37.3,"(44.6613195430005, -84.71439026999968)"
2015,WV,West Virginia,Obese (bmi 30.0 - 99.8),18-24,Age Group,78,20.7,"(38.665510202, -80.712640135)"
2015,HI,Hawaii,Overweight (bmi 25.0-29.9),35-44,Age Group,255,35.1,"(21.304850435, -157.857749403)"
2015,MI,Michigan,Obese (bmi 30.0 - 99.8),65+,Age Group,795,30.0,"(44.661319543001, -84.71439027)"
2019,PR,Puerto Rico,Overweight (BMI 25.0-29.9),25-34,Age Group,228,31.3,"(18.220833, -66.590149)"
2019,TN,Tennessee,Obese (BMI 30.0 - 99.8),45-54,Age Group,440,42.5,"(35.68094058000048, -85.77449091399967)"
2016,ME,Maine,Overweight (bmi 25.0-29.9),55-64,Age Group,845,37.1,"(45.254228894000505, -68.98503133599962)"
2015,KS,Kansas,Overweight (bmi 25.0-29.9),45-54,Age Group,1160,36.2,"(38.3477403, -98.200781227)"
2019,MA,Massachusetts,Overweight (BMI 25.0-29.9),65+,Age Group,882,37.4,"(42.27687047000046, -72.08269067499964)"
2015,ID,Idaho,Obese (bmi 30.0 - 99.8),55-64,Age Group,419,34.6,"(43.682630005, -114.363730042)"
2017,ND,North Dakota,Obese (bmi 30.0 - 99.8),65+,Age Group,775,32.1,"(47.47531977900047, -100.11842104899966)"
2015,ID,Idaho,Overweight (bmi 25.0-29.9),45-54,Age Group,292,38.2,"(43.682630005, -114.363730042)"
2019,NC,North Carolina,Overweight (BMI 25.0-29.9),18-24,Age Group,91,27.0,"(35.466220975000454, -79.15925046299964)"
2017,OR,Oregon,Overweight (bmi 25.0-29.9),25-34,Age Group,202,35.0,"(44.56744942400047, -120.15503132599969)"
2016,KY,Kentucky,Obese (bmi 30.0 - 99.8),65+,Age Group,952,31.0,"(37.645970271000465, -84.77497104799966)"
2019,VA,Virginia,Obese (BMI 30.0 - 99.8),18-24,Age Group,110,20.2,"(37.54268067400045, -78.45789046299967)"
2016,DC,District of Columbia,Obese (bmi 30.0 - 99.8),35-44,Age Group,158,27.0,"(38.89037138500049, -77.03196112699965)"
2015,UT,Utah,Overweight (bmi 25.0-29.9),25-34,Age Group,500,31.8,"(39.360700171, -111.587130635)"
2016,OR,Oregon,Obese (bmi 30.0 - 99.8),18-24,Age Group,59,17.4,"(44.56744942400047, -120.15503132599969)"
2015,ME,Maine,Obese (bmi 30.0 - 99.8),45-54,Age Group,466,31.8,"(45.254228894001, -68.985031336)"
2018,NC,North Carolina,Overweight (BMI 25.0-29.9),35-44,Age Group,214,40.1,"(35.466220975000454, -79.15925046299964)"
2015,LA,Louisiana,Obese (bmi 30.0 - 99.8),55-64,Age Group,395,39.8,"(31.312660644, -92.445680071)"
2015,UT,Utah,Obese (bmi 30.0 - 99.8),25-34,Age Group,365,23.6,"(39.360700171, -111.587130635)"
2016,PA,Pennsylvania,Overweight (bmi 25.0-29.9),18-24,Age Group,131,27.1,"(40.79373015200048, -77.86070029399963)"
2017,PR,Puerto Rico,Overweight (bmi 25.0-29.9),18-24,Age Group,85,26.8,"(18.220833, -66.590149)"
2017,NH,New Hampshire,Obese (bmi 30.0 - 99.8),25-34,Age Group,103,29.6,"(43.65595011300047, -71.50036091999965)"
2018,DC,District of Columbia,Obese (BMI 30.0 - 99.8),25-34,Age Group,81,19.0,"(38.89037138500049, -77.03196112699965)"
2015,NC,North Carolina,Overweight (bmi 25.0-29.9),35-44,Age Group,298,36.5,"(35.466220975, -79.159250463)"
2019,PR,Puerto Rico,Overweight (BMI 25.0-29.9),55-64,Age Group,419,39.9,"(18.220833, -66.590149)"
2017,OK,Oklahoma,Obese (bmi 30.0 - 99.8),55-64,Age Group,483,40.0,"(35.47203135600046, -97.52107021399968)"
2018,NJ,New Jersey,Overweight (BMI 25.0-29.9),45-54,Age Group,182,41.8,"(40.13057004800049, -74.27369128799967)"
2018,OK,Oklahoma,Overweight (BMI 25.0-29.9),65+,Age Group,715,38.6,"(35.47203135600046, -97.52107021399968)"
2018,MA,Massachusetts,Obese (BMI 30.0 - 99.8),45-54,Age Group,295,29.4,"(42.27687047000046, -72.08269067499964)"
2017,KY,Kentucky,Overweight (bmi 25.0-29.9),18-24,Age Group,151,25.4,"(37.645970271000465, -84.77497104799966)"
2018,PA,Pennsylvania,Obese (BMI 30.0 - 99.8),55-64,Age Group,421,34.7,"(40.79373015200048, -77.86070029399963)"
2017,NH,New Hampshire,Obese (bmi 30.0 - 99.8),45-54,Age Group,274,32.4,"(43.65595011300047, -71.50036091999965)"
2016,IN,Indiana,Overweight (bmi 25.0-29.9),25-34,Age Group,238,33.4,"(39.766910452000445, -86.14996019399968)"
2015,AZ,Arizona,Obese (bmi 30.0 - 99.8),65+,Age Group,714,24.2,"(34.86597028, -111.763811277)"
2018,IA,Iowa,Overweight (BMI 25.0-29.9),65+,Age Group,1048,38.4,"(42.46940091300047, -93.81649055599968)"
2018,PA,Pennsylvania,Overweight (BMI 25.0-29.9),25-34,Age Group,247,34.5,"(40.79373015200048, -77.86070029399963)"
2018,GA,Georgia,Obese (BMI 30.0 - 99.8),18-24,Age Group,103,19.8,"(32.83968109300048, -83.62758034599966)"
2019,AZ,Arizona,Obese (BMI 30.0 - 99.8),55-64,Age Group,560,38.5,"(34.865970280000454, -111.76381127699972)"
2016,WV,West Virginia,Obese (bmi 30.0 - 99.8),18-24,Age Group,86,26.0,"(38.66551020200046, -80.71264013499967)"
2019,DC,District of Columbia,Overweight (BMI 25.0-29.9),35-44,Age Group,118,40.5,"(38.89037138500049, -77.03196112699965)"
2017,NY,New York,Overweight (bmi 25.0-29.9),25-34,Age Group,435,31.5,"(42.82700103200045, -75.54397042699964)"
2017,KY,Kentucky,Overweight (bmi 25.0-29.9),25-34,Age Group,242,30.7,"(37.645970271000465, -84.77497104799966)"
2019,AR,Arkansas,Overweight (BMI 25.0-29.9),65+,Age Group,892,36.4,"(34.74865012400045, -92.27449074299966)"
2017,CT,Connecticut,Overweight (bmi 25.0-29.9),35-44,Age Group,339,34.9,"(41.56266102000046, -72.64984095199964)"
2015,VA,Virginia,Overweight (bmi 25.0-29.9),65+,Age Group,943,38.5,"(37.542680674, -78.457890463)"
2019,CT,Connecticut,Overweight (BMI 25.0-29.9),18-24,Age Group,103,27.0,"(41.56266102000046, -72.64984095199964)"
2017,ND,North Dakota,Obese (bmi 30.0 - 99.8),25-34,Age Group,191,31.5,"(47.47531977900047, -100.11842104899966)"
2019,DC,District of Columbia,Obese (BMI 30.0 - 99.8),55-64,Age Group,167,40.5,"(38.89037138500049, -77.03196112699965)"
2018,NM,New Mexico,Overweight (BMI 25.0-29.9),45-54,Age Group,312,35.1,"(34.52088095200048, -106.24058098499967)"
2017,IL,Illinois,Obese (bmi 30.0 - 99.8),65+,Age Group,540,30.2,"(40.48501028300046, -88.99771017799969)"
2018,IL,Illinois,Overweight (BMI 25.0-29.9),18-24,Age Group,92,23.6,"(40.48501028300046, -88.99771017799969)"
2019,AK,Alaska,Overweight (BMI 25.0-29.9),45-54,Age Group,135,32.8,"(64.84507995700051, -147.72205903599973)"
2015,AR,Arkansas,Overweight (bmi 25.0-29.9),18-24,Age Group,41,27.4,"(34.748650124, -92.274490743)"
2016,IN,Indiana,Overweight (bmi 25.0-29.9),65+,Age Group,1634,39.7,"(39.766910452000445, -86.14996019399968)"
2016,IN,Indiana,Obese (bmi 30.0 - 99.8),55-64,Age Group,888,37.5,"(39.766910452000445, -86.14996019399968)"
2016,IN,Indiana,Obese (bmi 30.0 - 99.8),65+,Age Group,1255,30.6,"(39.766910452000445, -86.14996019399968)"
2018,MI,Michigan,Overweight (BMI 25.0-29.9),55-64,Age Group,732,36.5,"(44.6613195430005, -84.71439026999968)"
2015,GU,Guam,Obese (bmi 30.0 - 99.8),18-24,Age Group,45,25.0,"(13.444304, 144.793731)"
2017,PA,Pennsylvania,Overweight (bmi 25.0-29.9),55-64,Age Group,474,36.6,"(40.79373015200048, -77.86070029399963)"
2017,DC,District of Columbia,Overweight (bmi 25.0-29.9),25-34,Age Group,147,29.8,"(38.89037138500049, -77.03196112699965)"
2016,MI,Michigan,Overweight (bmi 25.0-29.9),45-54,Age Group,673,38.6,"(44.6613195430005, -84.71439026999968)"
